id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SP8	SP8	2.58397E+00	0	Transcription factor	BrainSpLMD|221833;BrainSpMouseDev|107080	OMIM|608306
THRB	THRB	2.52408E+00	0	Nuclear receptor	BrainSpLMD|7068;Eurexp|euxassay_005806|adenohypophysis, vestibulocochlear VIII;BrainSpMouseDev|21593	OMIM|190160;HPO|7068|Abdominal distention, Abnormality of the thyroid gland, Attention deficit hyperactivity disorder, Autosomal dominant inheritance, Autosomal recessive inheritance, Coarse facial features, Constipation, Convex nasal ridge, Delayed skeletal maturation, Delayed speech and language development, Epiphyseal stippling, Feeding difficulties, Goiter, Hearing impairment, Hyperthyroidism, Hypothyroidism, Increased serum free triiodothyronine, Increased thyroid-stimulating hormone level, Jaundice, Large fontanelles, Macroglossia, Muscular hypotonia, Pectus carinatum, Proptosis, Sensorineural hearing impairment, Sleep disturbance, Small for gestational age, Sprengel anomaly, Thyroid hormone receptor defect, Umbilical hernia
SCGN	SCGN	2.48709E+00	0	Calcium binding protein	BrainSpLMD|10590;Eurexp|euxassay_002978|mantle layer, marginal layer, pancreas, pituitary	OMIM|609202
PDZRN3	PDZRN3	2.32279E+00	0	Unclassified	BrainSpLMD|23024;Eurexp|euxassay_000356|mantle layer	OMIM|609729
SNRPGP10	SNRPGP10	2.29660E+00	4.69E-09			
RP11.351J23.1	RP11.351J23.1	2.27871E+00	0			
PRKCA	PRKCA	2.15092E+00	0	Serine/threonine kinase	BrainSpLMD|5578	OMIM|176960
DLX6.AS1	DLX6.AS1	1.87180E+00	0			
DLX5	DLX5	1.84231E+00	0	Transcription regulatory protein	BrainSpLMD|1749;BrainSpMouseDev|13174	OMIM|600028;HPO|1749|Autosomal recessive inheritance, Finger syndactyly, Oligodactyly, Sensorineural hearing impairment, Split foot, Split hand
DLX1	DLX1	1.84116E+00	0	Transcription factor	BrainSpLMD|1745;Eurexp|euxassay_008426|cochlea, epithelium, footplate, handplate, incisor, inner ear, mantle layer, midgut, naso-lacrimal duct, neural retina, oesophagus, paraxial mesenchyme, retina, skeletal muscle, skeleton, stomach, utricle, vibrissa;BrainSpMouseDev|13169	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600029
ST8SIA5	ST8SIA5	1.78777E+00	0	Enzyme: Sialyltransferase	BrainSpLMD|29906	OMIM|607162
SDK2	SDK2	1.78104E+00	1.36E-13	Adhesion molecule	BrainSpLMD|54549;Eurexp|euxassay_009454|clavicle, femur, mantle layer, tongue, ventral grey horn, ventricular layer	OMIM|607217
GAS2L3	GAS2L3	1.62782E+00	9.21E-15	Cytoskeletal protein	BrainSpLMD|283431	OMIM|617224
PCDH9	PCDH9	1.61025E+00	0	Adhesion molecule	BrainSpLMD|5101;Eurexp|euxassay_014258|facial VII, mantle layer, ventricular layer, vertebral axis muscle system, vestibulocochlear VIII	SFARI||Autism, 4 - Minimal evidence;OMIM|603581
KITLG	KITLG	1.49150E+00	6.23E-13	Growth factor	BrainSpLMD|4254;Eurexp|euxassay_003584|dorsal root ganglion, glomeruli, mantle layer, marginal layer, naris, neural retina, olfactory, olfactory cortex, stroma, thymus primordium, trachea, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|17080	OMIM|184745;HPO|4254|Autosomal dominant inheritance, Cafe-au-lait spot, Heterochromia iridis, Hyperkeratosis, Hypopigmented skin patches, Infantile onset, Multiple lentigines, Premature graying of hair, Progressive hyperpigmentation, Sensorineural hearing impairment, White forelock
GAD2	GAD2	1.42663E+00	7.13E-12	Enzyme: Decarboxylase	BrainSpLMD|2572;Eurexp|euxassay_001769|dorsal grey horn, lateral ventricle, mantle layer;BrainSpMouseDev|14193	OMIM|138275
FAM65B	FAM65B	1.42041E+00	0			
SOX2.OT	SOX2.OT	1.41273E+00	0			
LRRC1	LRRC1	1.37912E+00	8.16E-07	Unclassified	BrainSpLMD|55227	SFARI||Autism, 4 - Minimal evidence;OMIM|608195
PROX1	PROX1	1.35773E+00	1.93E-12	Transcription factor	BrainSpLMD|5629;Eurexp|euxassay_004159|cardiovascular system, lens, liver, mantle layer, marginal layer, mesenchyme, pancreas, ventricle, ventricular layer;BrainSpMouseDev|18893	OMIM|601546
SEPT7P6	SEPT7P6	1.34963E+00	1.01E-07			
ERBB4	ERBB4	1.34771E+00	0	Receptor tyrosine kinase	BrainSpLMD|2066;Eurexp|euxassay_008088|mantle layer, marginal layer, ventricular layer;BrainSpMouseDev|13647	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600543;COSMIC||melanoma, gastric, NSCLC, Amyotrophic lateral sclerosis 19;HPO|2066|Adult onset, Amyotrophic lateral sclerosis, Anxiety, Autosomal dominant inheritance, Depressivity, Dyspnea, Emotional lability, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Generalized muscle weakness, Loss of ability to walk, Muscle cramps, Neurodegeneration, Pain, Paralysis, Respiratory failure, Respiratory insufficiency due to muscle weakness, Skeletal muscle atrophy, Spasticity, Xerostomia
DLX2	DLX2	1.33970E+00	0	Transcription factor	BrainSpLMD|1746;BrainSpMouseDev|13171	SFARI||Autism, 4 - Minimal evidence;OMIM|126255
TCEAL8	TCEAL8	1.31477E+00	0.007145107	Unclassified	BrainSpLMD|90843	
